model_a,model_b,task_id,processing,n_pairs,model_a_semantic_score,model_b_semantic_score,model_b_change_semantic_score_pct,model_a_strict_score,model_b_strict_score,model_b_change_strict_score_pct,model_a_input_tokens,model_b_input_tokens,model_b_change_input_tokens_pct,model_a_total_tokens,model_b_total_tokens,model_b_change_total_tokens_pct,model_a_thought_tokens,model_b_thought_tokens,model_b_change_thought_tokens_pct,model_a_provider_latency_seconds,model_b_provider_latency_seconds,model_b_change_provider_latency_seconds_pct,model_a_wall_latency_seconds,model_b_wall_latency_seconds,model_b_change_wall_latency_seconds_pct,quality_regression
models/gemini-3.6-flash-video-understanding-eap,models/gemini-3.7-flash-video-understanding-eap,ledger_completed_actions,agentic,3,1.0,1.0,0.0,0.0,0.0,,18863.0,13934.0,-26.130520065737162,22188.0,15017.333333333334,-32.31776936482183,2961.6666666666665,859.3333333333334,-70.98480585256048,30.857934866663225,12.708519700000275,-58.816039521394934,33.59906696666682,15.463500000002872,-53.97640054902715,False
models/gemini-3.6-flash-video-understanding-eap,models/gemini-3.7-flash-video-understanding-eap,ledger_feint_negative,agentic,3,1.0,1.0,0.0,1.0,1.0,0.0,5235.0,5845.333333333333,11.65870741801973,6338.666666666667,6260.333333333333,-1.235801430374428,931.6666666666666,285.0,-69.40966010733453,14.956171300000278,9.797395899998568,-34.49262044759821,17.63822870000149,12.586211166664725,-28.64243127393137,False
models/gemini-3.6-flash-video-understanding-eap,models/gemini-3.7-flash-video-understanding-eap,ledger_red_swallow_count,agentic,3,1.0,1.0,0.0,1.0,1.0,0.0,17255.0,14215.0,-17.6180817154448,19901.0,15351.666666666666,-22.85982278947457,2329.3333333333335,873.0,-62.52146536920436,26.647407566662878,15.724474400000569,-40.99060345490192,29.51976670000052,18.57671803333263,-37.07024102825209,False
models/gemini-3.6-flash-video-understanding-eap,models/gemini-3.7-flash-video-understanding-eap,needle_color,agentic,3,1.0,1.0,0.0,1.0,1.0,0.0,71802.33333333333,20100.333333333332,-72.00601651756907,75039.33333333333,20660.333333333332,-72.46732824563118,2761.0,361.6666666666667,-86.90088132319208,49.40755496666922,14.258371500000067,-71.14131328777776,52.709611166668765,16.935958999997336,-67.8693152441487,False
models/gemini-3.6-flash-video-understanding-eap,models/gemini-3.7-flash-video-understanding-eap,needle_timestamp,agentic,3,1.0,1.0,0.0,1.0,1.0,0.0,28033.666666666668,16007.666666666666,-42.898419757196706,31894.0,16613.666666666668,-47.90974268932505,3469.6666666666665,421.0,-87.86626957440676,38.20189690000067,12.981665566667894,-66.01826971930373,41.126408633332176,15.751879900000253,-61.69886838299406,False
models/gemini-3.6-flash-video-understanding-eap,models/gemini-3.7-flash-video-understanding-eap,rapid_crossing_order,agentic,3,1.0,1.0,0.0,0.0,0.0,,9639.333333333334,8348.666666666666,-13.38958434193237,10925.0,9017.333333333334,-17.461479786422572,1141.3333333333333,529.6666666666666,-53.59228971962617,13.591692233329619,12.134743899997071,-10.719403502676517,16.327248199998092,14.867095766666656,-8.94304058740043,False
models/gemini-3.6-flash-video-understanding-eap,models/gemini-3.7-flash-video-understanding-eap,ledger_completed_actions,static,3,1.0,1.0,0.0,0.0,0.0,,11919.0,11919.0,0.0,13075.666666666666,12841.666666666666,-1.7895837051010832,1113.6666666666667,879.6666666666666,-21.011673151750987,10.36747510000229,5.925075733330838,-42.84938544651503,13.107084566666648,8.776837133331961,-33.03745704324804,False
models/gemini-3.6-flash-video-understanding-eap,models/gemini-3.7-flash-video-understanding-eap,ledger_feint_negative,static,3,1.0,1.0,0.0,1.0,1.0,0.0,11897.0,11897.0,0.0,12892.0,12304.666666666666,-4.555796876615991,994.0,406.6666666666667,-59.08786049631121,9.378138333333482,5.127753433330024,-45.32226705268324,12.109559099999993,7.881381966665988,-34.91602872093013,False
models/gemini-3.6-flash-video-understanding-eap,models/gemini-3.7-flash-video-understanding-eap,ledger_red_swallow_count,static,3,1.0,1.0,0.0,1.0,1.0,0.0,11909.0,11909.0,0.0,13533.0,12418.0,-8.23911919012783,1623.0,508.0,-68.69993838570548,13.111363000001196,5.80984616666683,-55.68846529025014,16.181212166668654,8.631885899999665,-46.65488709319126,False
models/gemini-3.6-flash-video-understanding-eap,models/gemini-3.7-flash-video-understanding-eap,needle_color,static,3,1.0,1.0,0.0,1.0,1.0,0.0,19820.0,19820.0,0.0,19963.666666666668,19904.0,-0.29887629193035004,142.66666666666666,83.0,-41.82242990654205,5.669718766667454,5.521554433333222,-2.6132571902031,8.802144300000995,8.209094533335398,-6.7375601495823005,False
models/gemini-3.6-flash-video-understanding-eap,models/gemini-3.7-flash-video-understanding-eap,needle_timestamp,static,3,1.0,1.0,0.0,1.0,1.0,0.0,19819.0,19819.0,0.0,20198.333333333332,20041.0,-0.7789421569436406,376.6666666666667,219.0,-41.85840707964602,6.377871166664893,4.331876366666013,-32.079588102886824,9.20709453333499,7.289954466665222,-20.82242188052502,False
models/gemini-3.6-flash-video-understanding-eap,models/gemini-3.7-flash-video-understanding-eap,rapid_crossing_order,static,3,0.6,0.0,-100.0,0.0,0.0,,1208.0,1208.0,0.0,6236.666666666667,2651.0,-57.493319080705504,4995.666666666667,1425.0,-71.4752785747648,34.243014633335406,8.902286633332551,-74.00262001270701,37.03027626666881,11.695120933332268,-68.4174083684622,True
